County,State,2014 Population,2010 Population,Population Percent Change,Percent Under 5 Years,Percent Under 18 Years,Percent 65 and Older,Percent Female,Percent White,Percent Black or African American,Percent American Indian and Alaska Native,Percent Asian,Percent Native Hawaiian and Other Pacific Islander,Percent Two or More Races,Percent Hispanic or Latino,"Percent White, not Hispanic or Latino",Veterans,Percent Foreign Born,Percent High School or Higher,Percent Bachelor's Degree or Higher,Housing Units,Percent Housing Units in Multi-Unit Structures,Homeownership Rate,Median Value of Owner-Occupied Units,Building Permits,Households,Persons per Household,Percent Living in Same House +1 Years,Percent Language Other than English at Home,Mean Travel Time to Work,Median Household Income,Per Capita Income,Percent Below Poverty Level,Accommodation and Food Services Sales,Manufacturers Shipments,Merchant Wholesaler Sales,Retail Sales,Retail Sales per Capita,Population per Square Mile,Land Area
Clinton County,IN,32776,33224,-1.3,6.9,26.3,15.8,50.5,97.8,0.6,0.4,0.3,0,0.9,14.9,83.4,2051,6.5,84.7,13,13248,12.7,72.1,97300,24,11745,2.76,84.7,12.5,22.1,48953,21554,13.9,250,22834,0,2235,6579,82,405.07
Trego County,KS,2902,3001,-3.3,4.4,18,24.2,50.6,97.4,0.7,0.3,0.4,0.1,1.1,2,95.6,306,1.5,90.2,21.5,1676,9.9,74.8,74500,0,1232,2.35,83.9,5.4,14.8,45714,23095,6.7,40,0,241,404,13740,3.4,889.48
Cass County,NE,25524,25241,1.1,6,24.6,16.1,49.6,97,0.5,0.5,0.5,0.1,1.5,3.1,94.3,3091,1.3,94,23.6,11250,6.8,79.2,146700,63,9701,2.57,90.7,3.4,27,64697,29638,6.4,142,0,990,1836,7196,45.3,557.45
Walton County,GA,87615,83768,4.6,6.2,25.9,14.2,51.3,79.6,17,0.4,1.4,0.1,1.5,3.9,76.5,5764,4.4,83.1,18.4,32544,9.3,75.1,157100,271,29520,2.84,86.9,6.4,31.3,52369,22824,13.8,583,5918,2604,7971,9577,257.2,325.68
Norfolk County,MA,692254,670850,3.2,5.4,21.6,15.7,52.1,80.9,6.9,0.2,10.2,0,1.8,4,77.8,38108,15.5,93.7,49.2,272940,37.2,69.3,391100,1594,257451,2.56,88.7,19,31.5,84916,44692,6.6,12940,103407,123988,112414,17133,1693.6,396.11
Crow Wing County,MN,63265,62500,1.2,5.9,22.2,20.7,50.1,96.4,0.6,0.9,0.5,0,1.5,1.4,95.3,5869,1.4,92,22.5,40892,10.9,74.5,180300,331,26963,2.3,86.4,2.2,21.5,47058,26527,12.9,1495,0,2786,11419,18535,62.6,999.1
Beaver County,PA,169392,170539,-0.7,5.1,19.7,19.7,51.6,91.1,6.4,0.1,0.5,0,1.8,1.4,89.9,15600,1.8,91,21.9,78381,17,73.4,115400,141,70867,2.35,89.7,3.5,25.1,49217,26258,12.2,1563,47088,11800,15552,8989,392.3,434.71
Sedgwick County,CO,2348,2379,-1.3,5.2,20.3,24.4,50,95.4,0.5,1,1.4,0,1.7,15.1,82.1,230,3.2,86.8,15,1408,12.9,68.6,81400,1,943,2.47,78.5,10.3,18.9,40221,21536,18.9,16,0,0,333,14305,4.3,548.04
Pierce County,ND,4404,4357,1.1,6.3,22.1,22.8,49.3,93.9,0.6,4.5,0.1,0,0.9,1.4,92.9,347,0.7,82.3,12.4,2222,13.2,72.3,83100,4,1983,2.08,87.7,4.3,14.2,42975,23491,14.3,30,0,858,856,20927,4.3,1018.6
Morton County,ND,29822,27471,8.6,6.8,23.3,14.9,49.4,92.6,0.9,3.9,0.4,0.1,2,2.7,90.8,2036,0.6,90.2,24.1,13875,15.3,79.3,147900,509,11416,2.39,85.9,5.5,19.5,60065,29389,8.5,260,0,2381,3421,13238,14.3,1926.27
