County,State,Ben Carson.Number of Votes,Ben Carson.Party,Ben Carson.Percent of Votes,Bernie Sanders.Number of Votes,Bernie Sanders.Party,Bernie Sanders.Percent of Votes,Carly Fiorina.Number of Votes,Carly Fiorina.Party,Carly Fiorina.Percent of Votes,Chris Christie.Number of Votes,Chris Christie.Party,Chris Christie.Percent of Votes,Donald Trump.Number of Votes,Donald Trump.Party,Donald Trump.Percent of Votes,Hillary Clinton.Number of Votes,Hillary Clinton.Party,Hillary Clinton.Percent of Votes,Jeb Bush.Number of Votes,Jeb Bush.Party,Jeb Bush.Percent of Votes,John Kasich.Number of Votes,John Kasich.Party,John Kasich.Percent of Votes,Marco Rubio.Number of Votes,Marco Rubio.Party,Marco Rubio.Percent of Votes,Martin O'Malley.Number of Votes,Martin O'Malley.Party,Martin O'Malley.Percent of Votes,Mike Huckabee.Number of Votes,Mike Huckabee.Party,Mike Huckabee.Percent of Votes,Rand Paul.Number of Votes,Rand Paul.Party,Rand Paul.Percent of Votes,Rick Santorum.Number of Votes,Rick Santorum.Party,Rick Santorum.Percent of Votes,Ted Cruz.Number of Votes,Ted Cruz.Party,Ted Cruz.Percent of Votes,No Preference.Number of Votes,No Preference.Party,No Preference.Percent of Votes,Uncommitted.Number of Votes,Uncommitted.Party,Uncommitted.Percent of Votes
Clinton,Indiana,0,Republican,0,1046,Democrat,59.1,0,Republican,0,0,Republican,0,3252,Republican,49.2,724,Democrat,40.9,0,Republican,0,474,Republican,7.2,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,2637,Republican,39.9,0,,0,0,,0
Cass,Nebraska,0,Republican,0,151,Democrat,53.4,0,Republican,0,0,Republican,0,1811,Republican,60.6,132,Democrat,46.6,0,Republican,0,283,Republican,9.5,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,673,Republican,22.5,0,,0,0,,0
Walton,Georgia,1046,Republican,5.5,969,Democrat,29.4,0,Republican,0,0,Republican,0,7910,Republican,41.6,2309,Democrat,69.9,0,Republican,0,539,Republican,2.8,3440,Republican,18.1,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,5883,Republican,30.9,0,,0,0,,0
Norfolk,Massachusetts,38,Republican,2.2,956,Democrat,55.3,0,Republican,0,0,Republican,0,712,Republican,41.1,760,Democrat,43.9,0,Republican,0,420,Republican,24.2,363,Republican,21,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,153,Republican,8.8,6,,0.3,0,,0
Beaver,Pennsylvania,0,Republican,0,9563,Democrat,41.8,0,Republican,0,0,Republican,0,11178,Republican,57.5,12963,Democrat,56.7,0,Republican,0,3572,Republican,18.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,4331,Republican,22.3,0,,0,0,,0
Linneus,Maine,0,Republican,0,1,Democrat,100,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Kingsbury Plt.,Maine,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Sedgwick,Colorado,0,Republican,0,8,Democrat,38.1,0,Republican,0,0,Republican,0,0,Republican,0,13,Democrat,61.9,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Deer Isle,Maine,0,Republican,0,4,Democrat,66.7,0,Republican,0,0,Republican,0,0,Republican,0,2,Democrat,33.3,0,Republican,0,0,Republican,0,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,0,Republican,0,0,,0,0,,0
Enosburgh,Vermont,4,Republican,3.3,296,Democrat,91.4,0,Republican,0,0,Republican,0,42,Republican,34.1,28,Democrat,8.6,0,Republican,0,33,Republican,26.8,30,Republican,24.4,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,14,Republican,11.4,0,,0,0,,0
Clatsop,Oregon,0,Republican,0,3334,Democrat,55.9,0,Republican,0,0,Republican,0,2391,Republican,69.9,2628,Democrat,44.1,0,Republican,0,594,Republican,17.4,0,Republican,0,0,Democrat,0,0,Republican,0,0,Republican,0,0,Republican,0,434,Republican,12.7,0,,0,0,,0
